"Location,London borough,Post town,Postcode district,Dial code,OS grid ref"
"Soho,Westminster,LONDON,W1,020,TQ295815"
"Somerstown,Camden,LONDON,NW1,020,TQ295825"
"South Croydon,Croydon,SOUTH CROYDON,CR2,020,TQ325633"
"South Hackney,Hackney,LONDON,E9,020,TQ355845"
"South Harrow,Harrow,HARROW,HA2,020,TQ143863"
"South Hornchurch,Havering,RAINHAM,RM13,01708,TQ515835"
"South Kensington,Kensington and Chelsea,LONDON,""SW7, SW3, SW5"",020,TQ265785"
"South Norwood,Croydon,LONDON,SE25,020,TQ340684"
"South Ruislip,Hillingdon,RUISLIP,HA4,""01895, 020"",TQ115855"
"South Wimbledon,Merton,LONDON,SW19,020,TQ255705"
"South Woodford,Redbridge,LONDON,E18,020,TQ405905"
"South Tottenham,Haringey,LONDON,""N15, N17"",020,TQ335885"
"Southend,Lewisham,LONDON,SE6,020,TQ373721"
"Southall,Ealing,SOUTHALL,""UB1, UB2"",020,TQ125805"
"Southborough,Bromley,BROMLEY,BR2,020,TQ423676"
"Southfields,Wandsworth,LONDON,""SW18, SW19"",020,TQ255735"
"Southgate,Enfield,LONDON,N14,020,TQ296942"
"Spitalfields,Tower Hamlets,LONDON,E1,020,TQ335815"
"St Helier,Merton,MORDEN,SM4,020,TQ265664"
"St James's,Westminster,LONDON,SW1,020,TQ295805"
"St Margarets,Richmond upon Thames,TWICKENHAM,TW1,020,TQ168742"
"St Giles,Camden,LONDON,WC2,020,TQ305815"
"St Johns,Lewisham,LONDON,SE4,020,TQ375765"
"St John's Wood,Westminster,LONDON,NW8,020,TQ265835"
"St Luke's,Islington,LONDON,EC1,020,TQ324824"
"St Mary Cray,Bromley,ORPINGTON,BR5,01689,TQ466680"
"St Pancras,Camden,LONDON,WC1,020,TQ301825"
"St Paul's Cray,Bromley,ORPINGTON,BR5,01689,TQ466688"
"Stamford Hill,Hackney,LONDON,""N15, N16"",020,TQ335875"
"Stanmore,Harrow,STANMORE,HA7,020,TQ195885"
"Stepney,Tower Hamlets,LONDON,E1,020,TQ355814"
"Stockwell,Lambeth,LONDON,""SW8, SW9"",020,TQ305755"
"Stoke Newington,Hackney,LONDON,N16,020,TQ335865"
"Stonebridge,Brent,LONDON,NW10,020,TQ203839"
"Stratford,Newham,LONDON,E15,020,TQ385845"
"Strawberry Hill,Richmond upon Thames,TWICKENHAM,""TW1, TW2"",020,TQ155725"
"Streatham,Lambeth,LONDON,SW16,020,TQ305715"
"Stroud Green,Haringey,LONDON,N4,020,TQ311881"
"Sudbury,""Brent, Ealing, Harrow"",""HARROW, WEMBLEY"",""HA0, HA1"",020,TQ165852"
"Sundridge,Bromley,BROMLEY,BR1,020,TQ406702"
"Surbiton,Kingston upon Thames,SURBITON,""KT5, KT6"",020,TQ180673"
"Surrey Quays,Southwark,LONDON,SE16,020,TQ356789"
"Sutton,Sutton,SUTTON,""SM1, SM2"",020,TQ255645"
"Swiss Cottage,Camden,LONDON,NW3,020,TQ266842"
"Sydenham (also Lower Sydenham,
 Upper Sydenham),""Lewisham, Bromley"",LONDON,SE26,020,TQ352714"
"Sydenham Hill,""Lewisham, Southwark"",LONDON,""SE21, SE26"",020,TQ352714"
"Teddington,Richmond upon Thames,TEDDINGTON,TW11,020,TQ159708"
"Temple,""City, Westminster"",LONDON,""EC4, WC2"",020,TQ311809"
"Temple Fortune,Barnet,BARNET,NW11,020,TQ245955"
"Thamesmead,""Bexley, Greenwich"",""LONDON, ERITH"",""SE28, SE2, DA18"",020,TQ475805"
"Thornton Heath,Croydon,THORNTON HEATH,CR7,020,TQ315685"
"Tokyngton,Brent,WEMBLEY,HA9,020,TQ195845"
"Tolworth,Kingston upon Thames,SURBITON,""KT5, KT6"",020,TQ197659"
"Tooting,Wandsworth,LONDON,SW17,020,TQ275715"
"Tooting Bec,Wandsworth,LONDON,SW17,020,TQ275715"
"Tottenham,Haringey,LONDON,""N15, N17"",020,TQ335905"
"Tottenham Green,Haringey,LONDON,N15,020,TQ337892"
"Tottenham Hale,Haringey,LONDON,""N15, N17"",020,TQ345895"
"Totteridge,Barnet,LONDON,N20,020,TQ245945"
"Tower Hill,Tower Hamlets,LONDON,EC3,020,TQ333806"
"Tufnell Park,""Islington, Camden"",LONDON,""N7, N19"",020,TQ295855"
"Tulse Hill,Lambeth,LONDON,""SW2, SE27"",020,TQ315735"
"Turnpike Lane,Haringey,LONDON,N8,020,TQ305905"
"Twickenham,Richmond upon Thames,TWICKENHAM,""TW1, TW2"",020,TQ155735"
"Upminster,Havering,UPMINSTER,RM14,01708,TQ560865"
"Upminster Bridge,Havering,HORNCHURCH,RM12,01708,TQ552867"
"Upper Clapton,Hackney,LONDON,E5,020,TQ345875"
"Upper Holloway,Islington,LONDON,N19,020,TQ297867"
"Upper Norwood,Croydon,LONDON,SE19,020,TQ329707"
"Upper Ruxley,""Bexley, Bromley"",""SIDCUP, ORPINGTON"",""DA14, BR5"",""020, 01689"",TQ4970"
"Upper Walthamstow,Waltham Forest,LONDON,E17,020,TQ385895"
"Upton,Bexley,BEXLEYHEATH,DA6,020,TQ485755"
"Upton Park,Newham,LONDON,""E6, E13"",020,TQ405837"
"Uxbridge,Hillingdon,UXBRIDGE,UB8,01895,TQ055835"
"Vauxhall,Lambeth,LONDON,SW8,020,TQ305785"
"Waddon,Croydon,CROYDON,CR0,020,TQ315645"
"Wallington,Sutton,WALLINGTON,SM6,020,TQ294645"
"Walthamstow,Waltham Forest,LONDON,E17,020,TQ375865"
"Walthamstow Village,Waltham Forest,LONDON,E17,020,TQ385895"
"Walworth,Southwark,LONDON,SE17,020,TQ325785"
"Wandsworth,Wandsworth,LONDON,SW18,020,TQ255755"
"Wanstead,Redbridge,LONDON,E11,020,TQ405885"
"Wapping,Tower Hamlets,LONDON,E1,020,TQ345805"
"Wealdstone,Harrow,HARROW,HA3,020,TQ155895"
"Well Hall,Greenwich,LONDON,SE9,020,TQ425751"
"Welling,Bexley,WELLING,DA16,020,TQ465755"
"Wembley,Brent,WEMBLEY,""HA0, HA9"",020,TQ175855"
"Wembley Park,Brent,WEMBLEY,HA9,020,TQ192863"
"Wennington,Havering,RAINHAM,RM13,01708,TQ545805"
"West Brompton,Kensington and Chelsea,LONDON,SW10,020,TQ253779"
"West Drayton,Hillingdon,WEST DRAYTON,UB7,01895,TQ065795"
"West Ealing,Ealing,LONDON,W13,020,TQ153802"
"West Green,Haringey,LONDON,N15,020,TQ324892"
"West Hackney,Hackney,LONDON,N16,020,TQ340865"
"West Ham,Newham,LONDON,""E13, E15"",020,TQ405837"
"West Hampstead,Camden,LONDON,NW6,020,TQ255855"
"West Harrow,Harrow,HARROW,HA2,020,TQ145875"
"West Heath,Bexley,LONDON,SE2,020,TQ475775"
"West Hendon,Barnet,LONDON,NW9,020,TQ215885"
"West Kensington,Hammersmith and Fulham,LONDON,W14,020,TQ246783"
"West Norwood,Lambeth,LONDON,SE27,020,TQ325715"
"West Wickham,Bromley,LONDON,BR4,020,TQ379660"
"Westcombe Park,Greenwich,LONDON,SE3,020,TQ402780"
"Westminster,Westminster,LONDON,SW1,020,TQ295795"
"Whetstone,Barnet,LONDON,N20,020,TQ265935"
"White City,Hammersmith and Fulham,LONDON,W12,020,TQ233807"
"Whitechapel,Tower Hamlets,LONDON,E1,020,TQ335815"
"Widmore (also Widmore Green),Bromley,BROMLEY,BR1,020,TQ411691"
"Whitton,Richmond upon Thames,TWICKENHAM,TW2,020,TQ145735"
"Willesden,Brent,LONDON,NW10,020,TQ227846"
"Wimbledon,Merton,LONDON,""SW19, SW20"",020,TQ239709"
"Winchmore Hill,Enfield,LONDON,N21,020,TQ315945"
"Wood Green,Haringey,LONDON,N22,020,TQ305905"
"Woodford,Redbridge,LONDON,""IG8, E18"",020,TQ405915"
"Woodford Green,""Redbridge, Waltham Forest"",""LONDON, WOODFORD GREEN"",IG8,020,TQ405915"
"Woodlands,Hounslow,ISLEWORTH,TW7,020,TQ155755"
"Woodside,Croydon,CROYDON,CR0,020,TQ344672"
"Woodside Park,Barnet,LONDON,N12,020,TQ256925"
"Woolwich,Greenwich,LONDON,SE18,020,TQ435795"
"Worcester Park,""Sutton, Kingston upon Thames"",WORCESTER PARK,KT4,020,TQ225655"
"Wormwood Scrubs,Hammersmith and Fulham,LONDON,W12,020,TQ225815"
"Yeading,Hillingdon,HAYES,UB4,020,TQ115825"
"Yiewsley,Hillingdon,WEST DRAYTON,UB7,020,TQ063804"
